1.400,Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.,"In New York, Vivendi shares were 1.4 percent down at $18.29."
3.00,"Volcano erupts in Indonesia -100,000 evacuated and airports closed",Volcanic eruption closes 3 airports
1.40,"49 killed, 148 wounded in violent attacks in Iraq","2 killed, 11 wounded in attacks in Iraq"
1.40,Ukraine's Yanukovych says he does not plan to resign,Ukraine opposition demands Yanukovich resign
0.80,Flash floods kill 58 in eastern Afghanistan,Bomb wounds 16 in eastern Afghanistan
5.00,Investigators probe motives of LAX airport shooter,Investigators Probe Motives of Los Angeles Airport Shooter
5.00,Outrage after reports emerge about 6-year-old Indian girl raped at school,"Outrage After Indian Girl, 6, Raped at Her School"
4.60,Janet Yellen to become first woman to lead the Federal Reserve,US Senate confirms Janet Yellen as US Federal Reserve chief
3.80,"World powers, Iran under Rouhani revive nuclear talks",World powers seek rare progress in Iran nuclear talks
1.20,Muslim Brotherhood banned in Egypt,Military holds upper hand in Egypt
2.80,More Deaths Expected in Canada Oil Train Explosion,Five dead in Canada train crash
0.40,Philippines defers comment on Taiwan fisher attack,Bin Laden's continuing sway shown in Kenya mall attack
1.60,"Crowds, Dignitaries Gather for Mandela Memorial Service",Obama takes 'selfie' at Mandela's funeral service
1.80,"Obama Urges Restraint from Israelis, Palestinians","Obama meets Israeli, Palestinian negotiators"
4.20,Russia releases Greenpeace doctor,Russian court releases Greenpeace ship doctor on bail
0.20,Russian aircraft wreckage found after a year,Russia evacuates embassy in Libya after attack
4.00,17 killed in US drone attack on Yemen wedding party,U.S. drone mistakenly kills 14 in Yemen wedding convoy
1.00,China manufacturing index at 11-month low: HSBC,China manufacturing expands in September
0.40,France to ban child beauty pageants,Facebook to test mobile payments service
1.80,"Today in History, Dec. 2","Today in History, April 23"
1.80,Ships Train for Syrian Chemical Weapons Transport,UN Adopts Syrian Chemical Weapons Resolution
0.60,Death toll rises to 29 in India's Mumbai building collapse,Death toll rises to 12 in Indonesia mine collapse
1.40,Extremists claim responsibility for Niger attacks,Greek militant group claims responsibility for Golden Dawn killings
3.80,Pro-Russians forces enter Ukrainian naval base in Crimea,Crimean forces storm Ukrainian navy headquarters
4.20,Body of missing South Korean shipping tycoon found in field,Sewol ferry disaster: Body of South Korean shipping tycoon found
2.20,No update on Nelson Mandela's condition,Nelson Mandela's condition improves
2.00,Ukraine: Nine people die in Kyiv clashes,Ukraine pressured over Kiev clashes
4.20,US Flying Surveillance Missions to Help Find Kidnapped Nigerian Girls,US surveillance aircraft join hunt for kidnapped Nigerian girls
3.80,Prince George is christened at St James's Palace,Prince George christened in London
4.00,Monty Python to reunite for new show,Monty Python to reunite on stage
0.20,Italian Foreign Minister confers with Ghana VP,Belgian Prime Minister sends condolences to victims
1.40,"Gunman who held suburban Atlanta firefighters hostage now dead, police say",The Lede: Video: Gunman Takes Firefighters Hostage in Georgia
5.00,Bradley Manning-WikiLeaks case turns to sentencing,Manning WikiLeaks case turns to sentencing phase
2.40,Egypt poll: 98 per cent vote 'yes' for new constitution,Egypt holding key vote on constitution
4.60,"Iran, six global powers sign landmark nuclear deal","Iran, world powers agree nuclear deal"
1.00,Israeli forces arrest 6 Palestinians in overnight West Bank raids,Israel classifies Jerusalem natives as noncitizens
2.80,Hague 'concerns over conduct' of Zimbabwe election,Zimbabwe: 'Grave Concerns' Over Election
0.60,Hong Kong stocks end higher,Indian stocks open higher
0.40,Dignitaries pay tribute to Paul Desmarais,Stars pay tribute to James Garner
4.20,Southwest grounds flights due to computer glitch,"Southwest flights delayed, canceled after computer glitch"
3.60,Vatican Embassy in Syria hit by mortar fire,Vatican embassy in Syria hit by mortar; no injuries
4.20,North Korea blocks access to joint industrial zone,North Korea Blocks Access to Key Industrial Zone
2.80,"Islamic militants kill 9 foreign tourists, 1 Pakistani",Gunmen Kill 11 Foreign Tourists in Pakistan
1.00,'Western' forces attack Islamic militant base in Somalia,Western powers scramble to befriend Modi
3.80,Hong Kong set for huge democracy rally on handover anniversary,Hong Kong set for huge democracy rally
3.00,Suicide bomber kills 20 in Iraq,"Suicide bomber attacks primary school in Iraq, kills 15"
0.40,Five children buried alive in Bohol landslide,Nine children die in attack in Afghanistan attack
3.00,6 Killed by Hot Lava as Indonesia Volcano Erupts,Five dead in Indonesian eruption
0.60,At least 11 killed in India building collapse,At Least 66 Killed in Bomb Blasts in Iraq
2.80,Egypt's presidential election begins,Egypt issues long-waited presidential election law
4.40,Son of US evangelist kills himself The son of popular US evangelist Rick Warren has killed himself.,Son of popular US evangelist Warren kills himself
0.00,Italian parliament backs new PM,Train Derailment Kills 4 in New York
0.40,Russian lawmakers pass new bill restricting Internet,Russia says ballistic 'objects' fired in Mediterranean
3.40,"Super Typhoon Haiyan, Strongest of Season, Slams the Philippines",Super typhoon Haiyan closes in on the Philippines
0.00,Nato condemns Ukraine crackdown,Thai bonds best in region
1.20,China to investigate EU wine exports,Christie investigation heats up
3.60,Conan O'Brien at the White House Correspondents' Dinner,Obama and O'Brien Cast Their Versions of D.C. White House Correspondents' Dinner
3.00,Boston bomb suspect charged; religious motive seen,Boston bombing suspect charged in hospital bed
1.40,Asian markets mixed on China trade data,Asian markets slump on central bank stimulus fears
4.80,World's oldest person dies in Japan at 116,Jiroemon Kimura: World's oldest person dies aged 116
1.40,Foreign exchange rates in India,Foreign exchange rates in Singapore
3.60,Colorado wildfire destroys more than 90 homes as winds worsen,Colorado wildfire may be biggest property destroyer in state history
2.00,Earthquake of 6.3 magnitude strikes off Indonesia island,Earthquake of 6 magnitude strikes Thailand
2.00,"US, Afghan govt to hold peace talks with Taliban",Pakistan holds direct talks with Taliban
3.00,"News of Terrorism and the Israeli-Palestinian Conflict (January 22 ‚Äď 28, 2014)","News of Terrorism and the Israeli-Palestinian Conflict (July 31 ‚Äď August 6, 2013)"
1.60,'It's either too late or too early to intervene in Syria',UN Chief: Inspectors need 4 days to conclude probe in Syria
1.00,Iran's nuclear negotiating team leaves for Kazakhstan,Iran's nuclear quest 'has cost Tehran over $100 billion'
0.80,U.S factory orders down 0.7 pct in January,German factory orders rebound in January
5.00,Gunmen Surround Libya's Foreign Ministry To Push Demands,Gunmen surround Libyan foreign ministry to push demands
0.60,Typhoon death toll rises to 3633,Egyptian death toll rises to 638
4.20,Uganda's president signs anti-gay bill,Uganda's president signs harsh anti-gay law
1.80,Russian parliament allows Putin to use military in Ukraine,Russia has no intention to incorporate southeastern Ukraine: FM
4.40,Bradley Manning acquitted of aiding the enemy,Wikileaks soldier Bradley Manning acquitted of aiding the enemy
0.60,G7 'to intensify Russia sanctions',Ukraine Fears Russian Invasion
5.00,Rock bands' plane makes emergency landing in Ill.,Rock Bands' Plane Makes Emergency Landing in Ill.
0.80,Russian Prime Minister On Second Day Of Crimea Visit,Russia warns against setting preconditions for Syria
4.60,Judge OKs force-feeding California inmates,U.S. judge approves force-feeding Californian inmates on hunger strik
4.00,Gang violence kills 16 in Venezuelan prison,Sixteen killed in Venezuela prison
3.40,"US Military Deaths in Afghanistan at 2,153",U.S. Military Deaths in Afghanistan
1.40,"Israel, Palestinians seek another meeting Monday: U.S. official",Palestinians: We Don't Want Kerry Mission to Fail
3.80,Tropical Storm Karen targets US Gulf Coast,Tropical Storm Karen poised to make landfall
4.80,"Seamus Heaney, Irish Poet of Soil and Strife, Dies at 74","Seamus Heaney, Irish poet and Nobel winner, dies at 74"
4.60,Bangladesh Islamists rally against atheist bloggers,Bangladeshi Islamists rally to demand action against atheist bloggers
4.00,Crash of Malaysia Airlines Flight MH17 in Eastern Ukraine,Malaysia Airlines plane crashes on Ukraine-Russia border
1.80,Suicide bomber kills 13 at restaurant in central Somalia,Suicide bomber kills at least 4 in Kabul
5.00,Anthony Weiner slips to fourth place in new poll,Weiner falls to fourth in new NYC mayoral poll
0.60,India accuses China of crossing de facto border,"Senate, House on collision course on border money"
2.80,Pregnant Sudan woman who married a Christian man sentenced to death for 'apostasy',Sudan frees Christian woman sentenced to death for apostasy
5.00,US top diplomat Kerry's wife rushed to hospital,US Secretary of State John Kerry‚Äôs wife rushed to hospital
3.80,Kerry pursuing 'quiet strategy' in Mideast peace process,Kerry meets Israeli leaders to push Mideast peace
3.60,North Korea says to restart nuclear reactor,North Korea Offers Talks: Complex May Re-Open
4.00,Egyptian court considers Mubarak‚Äôs release,Egypt court orders Mubarak release
0.80,"Suicide bomber kills eight, wounds 13 in Afghan capital - police",Suicide bomb kills 4 in Syrian capital's Old City
1.20,Boston bombing suspect charged in hospital bed,One week later: Boston honors bombing victims; suspect unable to speak
0.40,More rain hampers Indian flood rescue,US tourist gang-raped in northern India: Police
1.60,A look at major terror attacks in East Africa,UN Security Council slams deadly terrorist attack in Kenyan capital
0.80,Russia responds to Ukraine ceasefire,Cyprus probes Ukraine assets
3.50,Kim Jong-un Executed His 'Worse Than a Dog' Uncle,NKorea executes Kim Jong Un' uncle
1.20,Colourful support at World Cup in Brazil,Merkel to attend World Cup final
3.60,Mandela remains in hospital,Mandela remains in 'intensive care'
4.40,South Korea Ferry Crew Members Stand Trial,Sewol ferry crew faces trial
5.00,Egypt votes on new constitution,Egyptians Voting on New Constitution
2.80,US drone strike kills six in Pakistan officials,U.S. drone kills 4 militants in Pakistan
2.00,Vietnam detects signals from missing plane,China expands search area for missing plane
4.00,Cricket-England v Australia fourth test scoreboard,"Cricket-England 155-4 v Australia, fourth test - tea"
0.40,Birthday of DPRK to Be Celebrated in Peru,Curiosity Rover Celebrates 1 Year on Mars
2.20,Powerful 7.6 quake strikes off Solomons,Powerful 6.9 quake strikes off California coast
1.80,India Ink: Image of the Day: May 21,India Ink: Image of the Day: January 16
4.00,Australia leader ousted in snap leadership vote,Australian PM Gillard ousted in leadership vote
0.80,"Obama condemns Egypt violence, cancels military exercises",Pakistan condemns violence in Egypt
0.00,Argentina declares mourning for flood victims,Parents demands common forms for nursery admissions
2.20,Prince's christening a blend of old and new,"When is Prince George's christening? Baptism plan, royal baby's godparents and all the details"
2.33,"What the Papers Say, May 20, 2013","What the Papers Say, Nov. 19, 2013"
1.00,Google releases Nexus 5 phone with Kit Kat,Google redesigns search results on PCs
4.20,Bombing Aimed at Hezbollah Hits Southern Beirut,Explosion Hits Hezbollah Area South of Beirut
3.00,"U.S., allies to add sanctions against Russia over Ukraine",EU Slaps New Sanctions on Russia Over Ukraine
1.00,Factories that ran on Korean cooperation go silent,North and South Korea break their silence with talks
0.00,Chinese premier meets Indian vice president,Hezbollah urges to elect new Lebanese president
3.60,Algerian president in France for medical tests,Algerian president in France for medical tests after minor stroke
3.20,Islamists still holding some 30 hostages as Kenya mall standoff continues,Death toll rises as Kenya mall siege continues
3.80,Manchester City wins second Premier League title in three years,Manchester City win English Premier League title
4.80,Bodies of MH17 crash victims flown to Netherlands,MH17 dead flown back to Netherlands
3.40,Egypt policeman killed in Sinai attack,Egyptian soldiers killed in Sinai attack
1.40,Extension likely for Iran nuclear talks,Oil slips below $108 ahead of Iran nuclear talks
3.60,Fire kills 38 in Russian psychiatric institution,38 feared dead in Russian psychiatric hospital fire
1.60,Russia Warns It May Not Sign Landmark UN Arms Treaty,UN closes in on landmark arms treaty
1.60,Didier Reynders on Syria,Obama's day: Prime time on Syria
0.80,North Korea: experts call for dialogue ‚Äď and say China must play a part,North Korea cuts last ties with South by barring joint industrial park
1.00,China stocks open higher Monday,China stocks close lower on Thursday
0.00,Sony Xperia Z2 and Nokia‚Äôs X series unveiled,Court orders political ban on Italy‚Äôs Berlusconi
3.80,New coronavirus can probably can be passed person to person- WHO,WHO: New virus can probably pass person to person
5.00,Mandela back in hospital in ‚Äėserious but stable‚Äô condition,Nelson Mandela returns to hospital in ‚Äėserious but stable‚Äô condition
0.00,East Harlem explosion death toll rises,Mexico storm death toll continues to rise
0.00,Ukrainian Prime Minister resigns amid protests,British Prime Minister condemns murder of teens
0.00,Royal Hoax DJ Takes Action Against Station,Taliban bombs US base in Afghanistan
2.20,Arsenal v Stoke City ‚Äď live!,Tottenham v Manchester City ‚Äď live! 
2.40,"Business news and markets: as it happened, April 17, 2013","Business news and markets: as it happened, June 20, 2013"
4.20,"Iran, world powers begin new round of nuclear talks","Iran, world powers pledge new nuclear talks"
2.60,Tropical Storm Karen targets US Gulf Coast,Tropical Storm Karen weakens as it nears U.S. Gulf Coast
3.00,Workers killed in India building collapse,76 killed in Bangladesh building collapse
3.80,North Korea fires three short-range missiles,N. Korea fires short-range missiles
2.60,Car Bomb Kills 37 in Northwest Pakistan,Bomb kills three in northwest Pakistan
4.00,Malaysia Airlines loses contact with plane carrying 239 to Beijing,Malaysia Airlines plane vanishes on flight to Beijing
5.00,"Microsoft says to cut up to 18,000 jobs","Microsoft to cut 18,000 jobs in overhaul"
3.40,Malaysians vote in polls for stability or change,Malaysia elections: Malaysians vote with power at stake for first time
4.40,Fire destroys ancient Tibetan town in China,Fire destroys Tibetan town in China
5.00,Yahoo agrees to buy Tumblr for $1.1 billion cash,Yahoo to Buy Tumblr for $1.1 Billion
5.00,India starts voting in world's largest election,India voters kick off world‚Äôs biggest election
2.00,Car bomb in northern Syria kills at least 12,Syrian airstrikes kill at least 18 in Aleppo
2.80,Philippine quake death toll climbs to 73,Death toll in Philippines quake jumps to 85
1.40,Search ends for missing asylum-seekers,Search narrowed for missing man
0.20,Ukrainian President orders 7-day ceasefire in the east,Uganda's President Museveni agrees to sign anti-gays Bill
4.33,ICC Champions Trophy: India vs South Africa,Champions Trophy: India v South AfricaLive
4.40,Supreme Court takes on affirmative action in Michigan ban case,Supreme Court to hear Michigan affirmative action case
3.00,Headlines in major Iranian newspapers on Sept 30,Headlines in major Iranian newspapers on Nov 21
2.40,Cyclone leaves trail of destruction in India,Cyclone Phailin evacuation kept Indian villagers alive
0.60,Taliban kill 15 police in west Afghanistan,US drone kills two in eastern Afghanistan
4.60,Thousands rally to support embattled Tunisia government,Thousands gather to support Islamist government in Tunisia
4.80,South Africa's Mandela taken to hospital,Nelson Mandela taken to hospital
5.00,Updated - Two explosions near finish line of Boston Marathon,Two explosions at Boston Marathon finish line
0.40,At least two killed in southern Egypt clash,At least 18 killed in North Caucasus train station blast
3.00,Winter Storm Ion: State-By-State...,Winter Storm Janus: State-by-State...
3.60,Corpses Of 53 Men Found South Of Baghdad,Iraqi officials: 50 bodies found south of Baghdad
3.00,Bomb attacks kill 20 in Baghdad's Christian areas,Bombs Kill 35 in Baghdad Christian Area
3.20,China sets Bo Xilai trial date,China Bo Xilai trial in fourth day
0.80,Muslims prepare for start of Ramadan,Muslims pray for end to divisions
0.80,Japan scrambles jets against Russian military planes,"Separatists down Ukraine military plane, several dead"
1.00,Thousands of Britons claim dole in Germany,Thousands of white-clad Amsterdammers march for MH17
2.20,Suspected U.S. drone strike kills 5 in Pakistan,Suspected US drone targets Islamic seminary in Pakistan
0.40,Obama to sign up for Obamacare,Obama visits tornado hit Oklahoma
5.00,General Electric posts 9% profit drop for third quarter,GE posts 9% profit drop for third quarter
2.00,China yuan weakens to 6.1535 against USD,China yuan strengthens to new high against USD
5.00,Russia finds dead lawyer Magnitsky guilty in posthumous trial,Russia convicts dead lawyer Magnitsky in posthumous trial
2.80,'Trayvon could have been me',Trayvon Martin could have been ...
3.40,China sends largest fleet yet to disputed islands,China ships enter waters off disputed islands
3.40,Kerry's plan for restarting talks calls for release of 103 Palestinian inmates,"Kerry plan to include prisoner release, settlement freeze"
2.00,Police: Explosion in Belfast Cathedral Quarter,Explosion in Kabul a suicide attack in diplomatic area
1.40,"Syrians Protest against Erdogan in Paris, Venezuelans Stress Support to Syria",Turkey's Erdogan in Iran to mend ties after split over Syria
3.00,"Prime Minister to seek nuclear deal, investments during Japan visit",Manmohan hopes to clinch nuclear deal with Japan
1.20,US postpones missile test over N Korea tensions,Embassies staying put in N. Korea despite tension
4.60,Obama to meet privately with family of Nelson Mandela,Obama to meet with Mandela family
0.40,At least six dead in US shooting rampage,At least 20 dead in Somalia attacks
0.60,Gunmen kill 10 in Philippine political violence,Five killed in Philippines volcano eruption
5.00,Israel downs drone from Lebanon,Israel shoots down drone from Lebanon
1.00,Israel approves release of first group of Palestinian prisoners ahead of peace talks,Syrian opposition confirms participation in peace talks
4.60,Deadly clashes as Egypt marks anniversary,Violent clashes mark anniversary of Egypt uprising
1.60,NATO: 5 Americans killed in southern Afghanistan,Roadside bomb kills 3 policemen in southern Afghanistan
3.80,Conmen dressed as women steal cash,CCTV: York conmen dress as women to trick pensioners
5.00,Cleveland Kidnapper Ariel Castro Found Hanged in Prison Cell,Cleveland kidnapper Ariel Castro found hanging in his cell
5.00,Google Unveils Prototype Self-Driving Car,Google Unveils Concept Self-Driving Car
2.00,Bangladesh garment factory fire 'kills 8',Bangladesh garment factory collapse kills 149
4.00,US seeks to reassure wary Gulf allies over Iran deal,Hagel seeks to reassure jittery Gulf allies after Iran deal
0.00,Ukraine hosts ‚Äėunity talks‚Äô,Pope hits out at ‚Äėwar to sell arms‚Äô in Syria
2.40,Pakistan's Musharraf Under Arrest in Bhutto Assassination,Pakistan's Musharraf arrives at court for first time
2.20,Trial Date Set for Egypt's Muslim Brotherhood Chief,Syria's Muslim Brotherhood faces uphill battle
0.00,Red panda‚Äôs short-lived zoo escape,India‚Äôs march to Mars
0.20,Israeli doctors could be tried abroad for force-feeding Palestinian prisoners,Israel's West Bank control 'costing Palestinian economy billions'
5.00,Washington Pot Shops Prepare for Historic Sales,Washington pot shops prepare for historic sales
5.00,Rio airport workers strike on eve of FIFA World Cup,Rio de Janeiro airport workers strike on eve of World Cup
1.40,Son of top Muslim Brotherhood leader killed,Egypt arrests Muslim Brotherhood leader Badie
5.00,"Iran, six global powers sign landmark nuclear deal","Iran, six world powers clinch breakthrough nuclear deal"
2.80,Hot-Air Balloon Catches Fire in Virginia,Hot Air Balloon 'Catches Fire And Crashes'
2.40,"Quotes from leaders, family at Mandela memorial",World unites for Mandela memorial
0.00,Mumbai Indians puts T&T in its place,Indonesians vote for president in tight race
4.40,KL shares remain higher mid-afternoon,KL shares continue uptrend mid-afternoon
2.80,"What the Papers Say, Nov. 20, 2013","What the Papers Say, Oct. 10, 2013"
4.20,Amazon launches new device for streaming video,Amazon unveils new Fire TV streaming video box
0.00,Palestinian President Receives Jordanian Foreign Minister,Palestinian arrested for sexually harassing young girls
0.20,Obama nominates new transportation secretary,Obama To Meet Embattled Veterans Secretary
1.60,China yuan weakens to 6.1059 against USD,China yuan strengthens to 6.1070 against USD Friday
0.20,French raid wine cellar for austerity auction,US praises Ukraine deal; calls for concrete action
1.40,"US, Russia agree on seizure of Syria chemical weapons",Syrian rebels skeptical of chemical weapons deal
1.40,S Korea MPs to visit Kaesong complex,S. Korea demands talks with N. Korea on closed factory
0.00,Algerian priest to lecture about Christian heritage in N. Africa,Telstra applies to list China site in NY
3.00,Headlines in major Iranian newspapers on April 5,Headlines in major Iranian newspapers on August 18
0.60,Implications of Palestinian reconciliation,Belgian king to address nation amid abdication speculation
3.00,Hijacker arrested after plane lands at Geneva Airport,Hijacked aircraft lands in Geneva
5.00,PCB appoints Waqar Younis as head coach,Waqar Younis back as Pakistan coach
2.40,US makes case for action against Syria,Saudi Urges U.N. Action against Israel Strikes on Syria
1.80,Ankara protesters clash with police,Peru protesters clash with police
2.20,"49 killed, 148 wounded in violent attacks in Iraq","15 killed, 90 wounded in fresh attacks in Iraq"
0.40,Puerto Rican arrested for production of child pornography,Indian guru arrested on suspicion of rape
2.00,Ukraine signs EU trade pact as Russia finalizes Crimea annexation,"Ukraine's top court dismisses Crimea's independence as ""unconstitutional"""
1.00,Assad warns Turkey of 'heavy price' for backing Syrian rebels,Cabinet at war over arming Syrian rebels
1.80,Indian stocks close lower,Hong Kong stocks close 2.33% higher
2.80,"19 killed, 42 wounded in violent attacks in Iraq","43 killed, 86 wounded in attacks in Iraq"
3.80,Indian rape accused face verdicts,Indian rape accused found guilty
3.60,Iran nuclear deal agreed at talks,Iran Nuclear Deal Sealed After Decades-Long Dispute
0.00,Egyptian military spokesman denounces incitement against army,Labor ministry announcement due on Monday
5.00,Snowden sees 'no chance' for US fair trial,"Snowden sees ""no chance"" to get fair trial in U.S."
2.20,Headlines in major Iranian newspapers on Dec 30,Headlines in major Iranian newspapers on July 6
0.20,Dozens injured in Connecticut train collision,Indian minister killed in head-on collision
5.00,Queen visits Britain's new prince,Queen meets Britain's new baby prince
1.00,Ukraine: Three Killed In Parliament Protests,Ukraine President Calls Talks To End Protests
4.40,Ride operator charged in N.C. fair accident,N.C. State Fair ride operator arrested after accident
3.60,Transcript reveals confusion over evacuation of South Korean ferry,Transcript Reveals Confusion Over Ferry Evacuation
0.20,Fallen US firefighters brought home,Wall Street ends slightly lower
4.80,Syria Regime Agrees to Attend Peace Conference,Russia: Syria Agrees to Participate in Conference
3.40,UK vote rejects military action,Britain rejects Syria military action
4.40,New Zealand set to legalise gay marriage,New Zealand votes to legalise same-sex marriage
3.00,Singapore stocks end up 0.37 pct,Singapore stocks close 0.41 pct higher
1.80,Venezuelan president to visit China,Senegalese president to visit China
3.60,Cairo protesters defy crackdown threat,"In Cairo Camps, Protesters Dig in and Live On"
3.00,Missing plane search turns to Vietnamese islands,Missing Malaysia Airlines plane 'crashes off Vietnam'
1.00,Official of Malaysia Airlines briefs relatives of missing flight passengers about search progress,Malaysia Airlines investigating co-pilot on missing flight
2.20,Stars pay tribute to Cory Monteith,Stars pay tribute to James Garner
5.00,Los Angeles airport worker charged with making 9/11 threats,Los Angeles airport worker charged over 9/11 threats
2.20,"The Note's Must-Reads for Friday May 24, 2013","The Note's Must-Reads for Friday, August 23, 2013"
4.80,Cristiano Ronaldo hat-trick fires Portugal to 2014 World Cup finals,Ronaldo hat-trick fires Portugal to World Cup
3.00,Britain's Prince Philip set for 'exploratory' surgery,UK's Prince Philip hospitalized
3.60,"Japan starts hearing on sales tax, ex-bank deputy urges gradual rise",Japan starts hearings on proposed tax hike
1.00,"Three bomb attacks kill six soldiers, one civilian",School bomb attack kills two in southern Thailand
3.80,Italian pilgrims die in bus plunge,Passengers dead in Italy bus plunge
5.00,Strong new quake hits shattered Pak region,Powerful new earthquake hits shattered Pakistan region
4.60,Syrian opposition offers Assad truce in Homs for duration of Ramadan,Syrian opposition offers Assad's forces truce for duration of Ramadan
2.20,At least 20 dead in Somalia attacks,At least 60 die in Iraq prison attack
4.60,Westgate mall attackers spent four months planning in Nairobi,"Westgate attackers spent four months planning in Nairobi, says official"
4.80,U.N. Security Council calls for humanitarian ceasefire in Gaza,U.N. Security Council Calls for Unconditional Cease-Fire in Gaza
2.00,"6.3-magnitude quake hits Honshu, Japan: CENC",6.7-magnitude earthquake jolts Taiwan: CENC
2.20,Chinese shares close higher Tuesday,Chinese shares close lower on Wednesday
2.40,Car Bombs Kill 58 in Iraqi Capital,Car bombings kill 13 civilians in Iraqi capital
2.60,Ukrainian protesters back in streets for anti-government rally,Ukraine protesters topple Lenin statue in Kiev
2.20,"Canadian freight train blast death toll hits three, to rise",Canadian government 'monitoring' train blast situation
2.40,Nigel Farage calls on Government to let Syrian refugees into UK,'No plans' to resettle Syrian refugees in the UK
0.20,Israel's Peres urges return to peace talks,Gonsalves keeps up pressure on Dom Rep
1.80,China yuan strengthens to 6.1184 against USD Tuesday,China yuan weakens to 6.1510 against USD
1.60,Radio: Israel set to increase Palestinian prisoner release,US: Israel to delay Palestinian prisoner release
2.40,Morsi's supporters reject plan,Morsi supporters march in Egypt
0.20,Egypt court sentences 10 Brotherhood supporters to death - sources,Turkish PM tells supporters to prepare for rallies
1.40,Obama condemns killing of 3 Israeli teens,Bodies of missing Israeli teens found in West Bank
0.00,"Men tried to behead soldier on London street, court hears",Australia spied on Indonesia president: reports
3.40,Ukraine protesters rebuild barricades,"Putin speaks on Ukraine, protesters rebuild barricades"
2.40,Mel Smith dead at 60 and UK mourns a comedy favourite,Griff Rhys Jones: Mel Smith was 'a force for life'
1.60,"Three dead, 63 hurt as New York buildings collapse","Two dead, nine hurt in French building collapse"
1.60,Chinese shares close higher Tuesday,Chinese stocks close lower Thursday
3.00,India Ink: Image of the Day: July 2,India Ink: Image of the Day: March 4
3.60,Asian Muslims celebrate Eid as 14 killed in Afghanistan,"Asian Muslims celebrate Eid as 52 die in Pakistan, Afghanistan"
0.40,Russian coal mines seek new outlets in China,Russian foreign minister to meet UN chief
1.40,Ukraine‚Äôs pro-Russia protesters demand greater autonomy,Sudanese protesters demand the regime's ouster
3.20,Iraq army fights to retake Tikrit,Iraq army claims victory in Tikrit
1.20,Iran condemns alleged Israeli airstrike on Syria,Democrats Face Divide Over a Strike on Syria
2.60,Israel agrees to extend Gaza truce by four hours,"Israel, Hamas reportedly agree to 12-hour truce"
3.20,Fire at South Korean bus terminal kills 5,S Korea bus station fire kills seven
3.40,"Four civilians, three NATO soldiers killed in Afghanistan",Three NATO soldiers killed in Afghanistan
1.60,Protesters swamp streets to reclaim revolution,Egypt: Protesters storm Muslim Brotherhood's HQ
2.80,Tokyo stocks open down 0.24%,Tokyo stocks open up 0.52%
4.60,Australia returns asylum seekers to Sri Lanka in sea transfer,Australia: Australia hands asylum-seekers back to Sri Lanka
0.20,Shankill blast victims to be remembered,Crocodile victim's body recovered
1.40,118 people killed in twin blasts in Nigeria,Ten killed in new blast in Russia
4.40,Glee star Cory Monteith found dead in hotel room in Canada,'Glee' star Cory Monteith found dead
0.40,"Yolanda death toll climbs to 3,621",Kenya Red Cross says death toll rises to 68
1.80,Tokyo stocks close up 0.13pc,Tokyo stocks close 0.75pc down
3.60,Iran says ready for fresh round of nuclear talks,Iran's Khamenei renews support for nuclear talks
4.40,Clashes continue between police and protesters in Turkey,"Turkish police fight protesters, clear square"
1.20,Those refused medical cards urged to contact HSE,HSE boss defends medical-card plan
0.00,World‚Äôs largest building opened in west China,Italy‚Äôs centre-left splinters in presidential vote
1.20,Israeli lightly hurt by stones in West Bank,Israeli troops kill Palestinian in West Bank raid
3.20,Death toll from Egypt protests rises to 49,Death toll from Egypt violence rises to 638
3.00,Syrian opposition agree to landmark peace talks,Syria opposition pressed to attend talks
0.00,Poverty stats doubt Modi's development claims,GM to start taking recall compensation claims Aug 1
0.00,Pro-Russia rebels to hold vote in Ukraine,Syria rebels: We killed Hezbollah men in Lebanon
2.60,Georgians vote for new president,Ally of Georgia's billionaire PM to be president -exit polls
4.20,"MERS respiratory illness found in U.S., officials confirm","First case of MERS, a SARS-like respiratory illness, reported in North America"
4.80,EU declares Hezbollah's military wing terror group,EU puts Hezbollah military wing on terror list
1.80,Germany welcomes Iran nuclear agreement,Syria welcomes Iran's nuclear deal
2.20,"What the Papers Say, June 25, 2013","What the Papers Say, Aug. 19, 2013"
4.80,Gunmen kill nine foreigners in Pakistan,Gunmen kill nine tourists in Pakistan
1.80,2 Indian traders stranded in China sent back home,46 Indian nurses stranded in Iraq return home
3.60,California governor declares drought emergency,California governor declares drought emergency as wildfires continue to burn
0.40,Peace talks with Palestinians would take months: Israel official,3yo Palestinian girl killed in Israeli raid
0.60,17:02 23 killed in Iraq car bombings,11 children killed in Syria bombings
1.20,"Two dead, more trapped in latest Mumbai building collapse",Two are trapped as US building collapses
0.00,Air strikes kills dozens in northern Syria,Ukraine will not give 'an inch' over Crimea
1.40,Chinese tourist abducted from Malaysia,China returns 10 children abducted from Vietnam
2.20,UN inspectors hail progress over Syria chemical weapons,U.S. has not concluded Syria used chemical weapons -White House
0.00,Two arrests made after protest against Nigel Farage,Kerry vows progress after latest intensive Mideast trip
2.40,Gunmen kill 15 Libyan soldiers,Gunmen kill 3 Lebanese troops near Syria
4.40,Pictures show completed Costa Concordia operation,Timelapse of Costa Concordia operation
5.00,Iran Nuclear Talks Enter Third Day,Iran nuclear talks enter crucial third day
